comments_num,director,name,order,screenwriter,type_one,type_two,type_three,type_four,type_five,score
2442350,弗兰克·德拉邦特,肖申克的救赎 The Shawshank Redemption,1,"弗兰克·德拉邦特,斯蒂芬·金",剧情,犯罪,无,无,无,9.4
1815823,陈凯歌,霸王别姬,2,"芦苇,李碧华",剧情,爱情,同性,无,无,9.4
1836402,罗伯特·泽米吉斯,阿甘正传 Forrest Gump,3,"艾瑞克·罗斯,温斯顿·格鲁姆",剧情,爱情,无,无,无,9.5
2001828,吕克·贝松,这个杀手不太冷 Léon,4,吕克·贝松,剧情,动作,犯罪,无,无,9.6
1798134,詹姆斯·卡梅隆,泰坦尼克号 Titanic,5,詹姆斯·卡梅隆,剧情,爱情,灾难,无,无,9.7
1125363,罗伯托·贝尼尼,美丽人生 La vita è bella,6,"温琴佐·切拉米,罗伯托·贝尼尼",剧情,喜剧,爱情,战争,无,9.6
1916878,宫崎骏,千与千寻 千と千尋の神隠し,7,宫崎骏,剧情,动画,奇幻,无,无,9.1
937223,史蒂文·斯皮尔伯格,辛德勒的名单 Schindler's List,8,"托马斯·肯尼利,斯蒂文·泽里安",剧情,历史,战争,无,无,9.1
1765781,克里斯托弗·诺兰,盗梦空间 Inception,9,克里斯托弗·诺兰,剧情,科幻,悬疑,冒险,无,9.2
1214354,拉斯·霍尔斯道姆,忠犬八公的故事 Hachi: A Dog's Tale,10,"斯蒂芬·P·林赛,新藤兼人",剧情,无,无,无,无,9.3
1439727,克里斯托弗·诺兰,星际穿越 Interstellar,11,"乔纳森·诺兰,克里斯托弗·诺兰",剧情,科幻,冒险,无,无,9.3
1361898,彼得·威尔,楚门的世界 The Truman Show,12,安德鲁·尼科尔,剧情,科幻,无,无,无,9.2
1435362,朱塞佩·托纳多雷,海上钢琴师 La leggenda del pianista sull'oceano,13,"亚利桑德罗·巴里克,朱塞佩·托纳多雷",剧情,音乐,无,无,无,9.2
1609063,拉吉库马尔·希拉尼,三傻大闹宝莱坞 3 Idiots,14,"维德胡·维诺德·乔普拉,拉吉库马尔·希拉尼,阿希贾特·乔希",剧情,喜剧,爱情,歌舞,无,9.3
1132736,安德鲁·斯坦顿,机器人总动员 WALL·E,15,"安德鲁·斯坦顿,吉姆·里尔顿,彼特·道格特",科幻,动画,冒险,无,无,9.3
1117698,克里斯托夫·巴拉蒂,放牛班的春天 Les choristes,16,"乔治·沙普罗,勒·惠勒,诺埃-诺尔,克里斯托夫·巴拉蒂,菲利普·洛佩斯-屈瓦尔",剧情,喜剧,音乐,无,无,9.3
1102504,"刘伟强,麦兆辉",无间道 無間道,17,"麦兆辉,庄文强",剧情,惊悚,犯罪,无,无,9.2
1593628,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",疯狂动物城 Zootopia,18,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什,吉姆·里尔顿,乔西·特立尼达,菲尔·约翰斯顿,珍妮弗·李",喜剧,动画,冒险,无,无,9.3
1307512,刘镇伟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,19,刘镇伟,喜剧,爱情,奇幻,古装,无,9.3
792702,黄东赫,熔炉 ???,20,"黄东赫,孔枝泳",剧情,无,无,无,无,9.3
797103,弗朗西斯·福特·科波拉,教父 The Godfather,21,"马里奥·普佐,弗朗西斯·福特·科波拉",剧情,犯罪,无,无,无,9.4
1296194,加布里埃莱·穆奇诺,当幸福来敲门 The Pursuit of Happyness,22,斯蒂夫·康拉德,剧情,家庭,传记,无,无,9.3
1083517,宫崎骏,龙猫 となりのトトロ,23,宫崎骏,动画,奇幻,冒险,无,无,9.5
1545757,罗伯·莱纳,怦然心动 Flipped,24,"罗伯·莱纳,安德鲁·沙因曼,文德琳·范·德拉安南",剧情,喜剧,爱情,无,无,9.4
393113,比利·怀德,控方证人 Witness for the Prosecution,25,"阿加莎·克里斯蒂,比利·怀德,哈里·库尼兹",剧情,悬疑,犯罪,无,无,9.6
862903,"奥利维埃·纳卡什,埃里克·托莱达诺",触不可及 Intouchables,26,"奥利维埃·纳卡什,埃里克·托莱达诺",剧情,喜剧,无,无,无,9.1
698072,贝纳尔多·贝托鲁奇,末代皇帝 The Last Emperor,27,"贝纳尔多·贝托鲁奇,马克·派普罗",剧情,传记,历史,无,无,8.8
887015,克里斯托弗·诺兰,蝙蝠侠：黑暗骑士 The Dark Knight,28,"乔纳森·诺兰,克里斯托弗·诺兰,大卫·S·高耶",剧情,动作,科幻,惊悚,犯罪,9.2
1360641,"李·昂克里奇,阿德里安·莫利纳",寻梦环游记 Coco,29,"阿德里安·莫利纳,马修·奥尔德里奇,李·昂克里奇,詹森·卡茨",喜剧,动画,音乐,奇幻,无,9.1
690500,张艺谋,活着,30,"芦苇,余华",剧情,家庭,历史,无,无,9
676224,彼得·杰克逊,指环王3：王者无敌 The Lord of the Rings: The Return of the King,31,"弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,J. R. R. 托尔金",剧情,动作,奇幻,冒险,无,9.1
923702,克里斯·哥伦布,哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone,32,"史蒂夫·克洛夫斯,J·K·罗琳",奇幻,冒险,无,无,无,8.8
585379,"维克多·弗莱明,乔治·库克,山姆·伍德",乱世佳人 Gone with the Wind,33,"玛格丽特·米歇尔,西德尼·霍华德,奥利弗·H·P·加勒特,本·赫克特,乔·斯沃林,约翰·范·德鲁登",剧情,爱情,历史,战争,无,8.9
864205,娜丁·拉巴基,何以为家 ????????,34,"娜丁·拉巴基,吉哈德·霍加里,米歇尔·凯斯沃尼,乔治斯·哈巴兹,哈立德·穆扎纳",剧情,无,无,无,无,9.1
565810,李濬益,素媛 ??,35,"金智慧,曹重勋,金成旭",剧情,无,无,无,无,8.9
1129484,"彼特·道格特,鲍勃·彼德森",飞屋环游记 Up,36,"彼特·道格特,鲍勃·彼德森,汤姆·麦卡锡",剧情,喜剧,动画,冒险,无,8.9
1339832,涅提·蒂瓦里,摔跤吧！爸爸 Dangal,37,"比于什·古普塔,施热亚·简,尼基尔·麦罗特拉,涅提·蒂瓦里",剧情,家庭,传记,运动,无,9.1
394469,西德尼·吕美特,十二怒汉 12 Angry Men,38,雷金纳德·罗斯,剧情,无,无,无,无,9.2
847576,宫崎骏,哈尔的移动城堡 ハウルの動く城,39,"宫崎骏,黛安娜·温恩·琼斯",动画,奇幻,冒险,无,无,9
1174021,李安,少年派的奇幻漂流 Life of Pi,40,"扬·马特尔,大卫·麦基",剧情,奇幻,冒险,无,无,9.1
1781127,文牧野,我不是药神,41,"韩家女,钟伟,文牧野",剧情,喜剧,无,无,无,8.9
523179,姜文,鬼子来了,42,"姜文,史建全,述平,尤凤伟",剧情,喜剧,无,无,无,9.2
1042031,刘镇伟,大话西游之月光宝盒 西遊記第壹佰零壹回之月光寶盒,43,"刘镇伟,吴承恩",喜剧,爱情,奇幻,古装,无,9.1
707393,宫崎骏,天空之城 天空の城ラピュタ,44,宫崎骏,动画,奇幻,冒险,无,无,9
584005,朱塞佩·托纳多雷,天堂电影院 Nuovo Cinema Paradiso,45,"朱塞佩·托纳多雷,瓦娜·波利",剧情,爱情,无,无,无,9.1
730108,马丁·布莱斯特,闻香识女人 Scent of a Woman,46,"博·古德曼,乔瓦尼·阿尔皮诺",剧情,无,无,无,无,9.2
630094,彼得·杰克逊,指环王2：双塔奇兵 The Lord of the Rings: The Two Towers,47,"弗兰·威尔士,菲利帕·鲍恩斯,斯蒂芬·辛克莱,彼得·杰克逊,J. R. R. 托尔金",剧情,动作,奇幻,冒险,无,9.1
822500,威廉·惠勒,罗马假日 Roman Holiday,48,"伊安·麦克莱伦·亨特,约翰·戴顿,达尔顿·特朗勃",剧情,喜剧,爱情,无,无,8.9
774591,史蒂文·斯皮尔伯格,猫鼠游戏 Catch Me If You Can,49,杰夫·内桑森,剧情,传记,犯罪,无,无,9.4
510660,杨宇硕,辩护人 ???,50,"杨宇硕,尹贤浩",剧情,无,无,无,无,9.2
715671,彼得·杰克逊,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,51,"弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,J. R. R. 托尔金",剧情,动作,奇幻,冒险,无,8.8
479769,罗曼·波兰斯基,钢琴家 The Pianist,52,罗纳德·哈伍德,剧情,音乐,传记,战争,无,8.9
353124,万籁鸣,大闹天宫,53,"李克弱,万籁鸣",动画,奇幻,无,无,无,8.9
1394272,姜文,让子弹飞,54,"朱苏进,述平,姜文,郭俊立,危笑,李不空,马识途",剧情,喜剧,动作,西部,无,9
700601,"罗杰·阿勒斯,罗伯·明可夫",狮子王 The Lion King,55,"艾琳·梅琪,乔纳森·罗伯特 ,琳达·伍尔芙顿",动画,歌舞,冒险,无,无,8.9
448346,弗朗西斯·福特·科波拉,教父2 The Godfather: Part Ⅱ,56,"弗朗西斯·福特·科波拉,马里奥·普佐",剧情,犯罪,无,无,无,9.1
589566,彼得·威尔,死亡诗社 Dead Poets Society,57,汤姆·舒尔曼,剧情,无,无,无,无,8.7
