comments_num,director,name,order,score,screenwriter,type
1798134,詹姆斯·卡梅隆,泰坦尼克号 Titanic,No.5,9.4,詹姆斯·卡梅隆,"剧情,爱情,灾难"
2001828,吕克·贝松,这个杀手不太冷 Léon,No.4,9.4,吕克·贝松,"剧情,动作,犯罪"
1836402,罗伯特·泽米吉斯,阿甘正传 Forrest Gump,No.3,9.5,"艾瑞克·罗斯,温斯顿·格鲁姆","剧情,爱情"
1815823,陈凯歌,霸王别姬,No.2,9.6,"芦苇,李碧华","剧情,爱情,同性"
2442350,弗兰克·德拉邦特,肖申克的救赎 The Shawshank Redemption,No.1,9.7,"弗兰克·德拉邦特,斯蒂芬·金","剧情,犯罪"
393113,比利·怀德,控方证人 Witness for the Prosecution,No.25,9.6,"阿加莎·克里斯蒂,比利·怀德,哈里·库尼兹","剧情,悬疑,犯罪"
1545757,罗伯·莱纳,怦然心动 Flipped,No.24,9.1,"罗伯·莱纳,安德鲁·沙因曼,文德琳·范·德拉安南","剧情,喜剧,爱情"
1296194,加布里埃莱·穆奇诺,当幸福来敲门 The Pursuit of Happyness,No.22,9.1,斯蒂夫·康拉德,"剧情,家庭,传记"
1083517,宫崎骏,龙猫 となりのトトロ,No.23,9.2,宫崎骏,"动画,奇幻,冒险"
797103,弗朗西斯·福特·科波拉,教父 The Godfather,No.21,9.3,"马里奥·普佐,弗朗西斯·福特·科波拉","剧情,犯罪"
792702,黄东赫,熔炉 도가니,No.20,9.3,"黄东赫,孔枝泳",剧情
1307512,刘镇伟,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,No.19,9.2,刘镇伟,"喜剧,爱情,奇幻,古装"
1593628,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什",疯狂动物城 Zootopia,No.18,9.2,"拜伦·霍华德,瑞奇·摩尔,杰拉德·布什,吉姆·里尔顿,乔西·特立尼达,菲尔·约翰斯顿,珍妮弗·李","喜剧,动画,冒险"
1102504,"刘伟强,麦兆辉",无间道 無間道,No.17,9.3,"麦兆辉,庄文强","剧情,惊悚,犯罪"
1117698,克里斯托夫·巴拉蒂,放牛班的春天 Les choristes,No.16,9.3,"乔治·沙普罗,勒·惠勒,诺埃-诺尔,克里斯托夫·巴拉蒂,菲利普·洛佩斯-屈瓦尔","剧情,喜剧,音乐"
1132736,安德鲁·斯坦顿,机器人总动员 WALL·E,No.15,9.3,"安德鲁·斯坦顿,吉姆·里尔顿,彼特·道格特","科幻,动画,冒险"
1609063,拉吉库马尔·希拉尼,三傻大闹宝莱坞 3 Idiots,No.14,9.2,"维德胡·维诺德·乔普拉,拉吉库马尔·希拉尼,阿希贾特·乔希","剧情,喜剧,爱情,歌舞"
1435362,朱塞佩·托纳多雷,海上钢琴师 La leggenda del pianista sull'oceano,No.13,9.3,"亚利桑德罗·巴里克,朱塞佩·托纳多雷","剧情,音乐"
1361898,彼得·威尔,楚门的世界 The Truman Show,No.12,9.3,安德鲁·尼科尔,"剧情,科幻"
1439727,克里斯托弗·诺兰,星际穿越 Interstellar,No.11,9.3,"乔纳森·诺兰,克里斯托弗·诺兰","剧情,科幻,冒险"
1214354,拉斯·霍尔斯道姆,忠犬八公的故事 Hachi: A Dog's Tale,No.10,9.4,"斯蒂芬·P·林赛,新藤兼人",剧情
1765781,克里斯托弗·诺兰,盗梦空间 Inception,No.9,9.3,克里斯托弗·诺兰,"剧情,科幻,悬疑,冒险"
937223,史蒂文·斯皮尔伯格,辛德勒的名单 Schindler's List,No.8,9.5,"托马斯·肯尼利,斯蒂文·泽里安","剧情,历史,战争"
1916878,宫崎骏,千与千寻 千と千尋の神隠し,No.7,9.4,宫崎骏,"剧情,动画,奇幻"
1125363,罗伯托·贝尼尼,美丽人生 La vita è bella,No.6,9.6,"温琴佐·切拉米,罗伯托·贝尼尼","剧情,喜剧,爱情,战争"
comments_num,director,name,order,score,screenwriter,type
715671,彼得·杰克逊,指环王1：护戒使者 The Lord of the Rings: The Fellowship of the Ring,No.51,9.1,"弗兰·威尔士,菲利帕·鲍恩斯,彼得·杰克逊,J. R. R. 托尔金","剧情,动作,奇幻,冒险"
1189257,詹姆斯·卡梅隆,阿凡达 Avatar,No.75,8.8,詹姆斯·卡梅隆,"动作,科幻,冒险"
344128,马基德·马基迪,小鞋子 بچه های آسمان,No.74,9.2,马基德·马基迪,"剧情,家庭,儿童"
506960,罗伯特·怀斯,音乐之声 The Sound of Music,No.73,9.1,"乔治·胡达勒克,霍华德·林赛,拉塞尔·克劳斯,恩斯特·莱赫曼,玛丽亚·冯·特拉普","剧情,爱情,歌舞,传记"
546102,史蒂文·斯皮尔伯格,拯救大兵瑞恩 Saving Private Ryan,No.72,9.0,罗伯特·罗达特,"剧情,战争"
482457,米洛斯·福尔曼,飞越疯人院 One Flew Over the Cuckoo's Nest,No.71,9.1,"劳伦斯·奥邦,博·古德曼,肯·凯西,达尔·瓦瑟曼",剧情
1035887,奥里奥尔·保罗,看不见的客人 Contratiempo,No.70,8.8,奥里奥尔·保罗,"剧情,悬疑,惊悚,犯罪"
825596,朱塞佩·托纳多雷,西西里的美丽传说 Malèna,No.69,8.9,"朱塞佩·托纳多雷,卢恰诺·温琴佐尼","剧情,情色,战争"
444694,马克·赫尔曼,穿条纹睡衣的男孩 The Boy in the Striped Pajamas,No.68,9.1,"约翰·伯恩,马克·赫尔曼","剧情,战争"
856994,岩井俊二,情书 Love Letter,No.67,8.9,岩井俊二,"剧情,爱情"
834144,大卫·芬奇,本杰明·巴顿奇事 The Curious Case of Benjamin Button,No.65,8.9,"艾瑞克·罗斯,罗宾·史威考德,F·司各特·菲茨杰拉德","剧情,爱情,奇幻"
511912,盖·里奇,"两杆大烟枪 Lock, Stock and Two Smoking Barrels",No.66,9.1,盖·里奇,"剧情,喜剧,犯罪"
474980,弗洛里安·亨克尔·冯·多纳斯马尔克,窃听风暴 Das Leben der Anderen,No.64,9.2,弗洛里安·亨克尔·冯·多纳斯马尔克,"剧情,悬疑"
644045,朗·霍华德,美丽心灵 A Beautiful Mind,No.63,9.0,"阿齐瓦·高斯曼,西尔维娅·纳萨尔","剧情,传记"
